Row Labels,Average of Total Precip (in),Average of Avg Air Temp (F)
4/1/1989,0.3025,63.95
5/1/1989,0.69125,66.125
6/1/1989,0.7475,72.25
7/1/1989,1.015,76.425
8/1/1989,0.84375,73.9
9/1/1989,1.58125,69.4625
10/1/1989,0.63125,61.45
11/1/1989,0.487142857,51.9125
12/1/1989,0.085714286,42.2875
1/1/1990,2.131428571,44.3375
2/1/1990,1.18,46.9875
3/1/1990,0.577142857,55.525
4/1/1990,0.584285714,63.8375
5/1/1990,1.308571429,67.2375
6/1/1990,0.051428571,73.95
7/1/1990,0.061428571,79.425
8/1/1990,0.084285714,76.125
9/1/1990,0.101428571,70.6875
10/1/1990,0.045714286,63.9625
11/1/1990,0.218571429,50.175
12/1/1990,0.437142857,42.425
1/1/1991,0.314285714,44.825
2/1/1991,1.312857143,53.2875
3/1/1991,5.81,50.65
4/1/1991,0.241428571,57.7875
5/1/1991,0.068571429,63.5375
6/1/1991,0.04,70.075
7/1/1991,0.04,77.0625
8/1/1991,0.214285714,74.1375
9/1/1991,0.037142857,74.325
10/1/1991,0.7,66.0625
11/1/1991,0.158571429,52.675
12/1/1991,1.224285714,44.2
1/1/1992,1.41,45.1
2/1/1992,4.105714286,54.35
3/1/1992,1.481428571,56.3875
4/1/1992,0.2075,64.21111111
5/1/1992,0.07375,72.87777778
6/1/1992,0.075,72.97777778
7/1/1992,0.12375,76.67777778
8/1/1992,0.0425,77.83333333
9/1/1992,0.005,72.08888889
10/1/1992,1.215,65.44444444
11/1/1992,0.05,51.58888889
12/1/1992,2.4325,43.84444444
1/1/1993,4.49375,45.65555556
2/1/1993,3.1225,50.57777778
3/1/1993,2.30125,58.02222222
4/1/1993,0.1775,59.85555556
5/1/1993,0.34,67.06666667
6/1/1993,0.2475,73.16666667
7/1/1993,0.09875,75.7
8/1/1993,0.035,74.8
9/1/1993,0.01625,70.93333333
10/1/1993,1.40125,63.93333333
11/1/1993,0.8025,50.94444444
12/1/1993,0.905,43.58888889
1/1/1994,1.23125,44.65555556
2/1/1994,1.79125,48.71111111
3/1/1994,0.49625,57.03333333
4/1/1994,0.8725,60.81111111
5/1/1994,1.08125,65.77777778
6/1/1994,0.09875,73.75555556
7/1/1994,0.035,77.28888889
8/1/1994,0.24125,76.12222222
9/1/1994,0.40625,71
10/1/1994,0.5,60.96666667
11/1/1994,1.225,46.44444444
12/1/1994,1.045,43.34444444
1/1/1995,4.73,51.08888889
2/1/1995,0.7575,52.2
3/1/1995,4.401111111,54.86
4/1/1995,0.896666667,58.84
5/1/1995,0.634444444,64.45
6/1/1995,0.272222222,70.94
7/1/1995,0.094,76.95454545
8/1/1995,1.618,76.63636364
9/1/1995,0.078,71.6
10/1/1995,0.032,64
11/1/1995,2.06,56.09090909
12/1/1995,2.676,49.84545455
1/1/1996,2.777,47.63636364
2/1/1996,3.127,53.57272727
3/1/1996,1.662,56.30909091
4/1/1996,1.161,62.09090909
5/1/1996,1.109090909,68
6/1/1996,0,74.45454545
7/1/1996,0.000909091,80.35454545
8/1/1996,0,77.88181818
9/1/1996,0.082727273,70.02727273
10/1/1996,1.724545455,61.33636364
11/1/1996,1.379090909,52.82727273
12/1/1996,3.277272727,48.68181818
1/1/1997,3.597272727,48.69090909
2/1/1997,0.295454545,50.68181818
3/1/1997,0.301818182,58.03636364
4/1/1997,0.234545455,62.25454545
5/1/1997,0.083636364,72.48181818
6/1/1997,0.170909091,72.90909091
7/1/1997,0.003636364,76.82727273
8/1/1997,0.000909091,75.82727273
9/1/1997,0.039090909,73.50909091
10/1/1997,0.222727273,61.04545455
11/1/1997,2.029090909,55.80909091
12/1/1997,1.29,43.54
1/1/1998,2.348181818,48.58181818
2/1/1998,5.483636364,50.46363636
3/1/1998,2.523636364,54.67272727
4/1/1998,1.211818182,57.62727273
5/1/1998,1.649090909,60.09090909
6/1/1998,0.364545455,69.59090909
7/1/1998,0,78.14545455
8/1/1998,0,78.70909091
9/1/1998,0.122727273,71.98181818
10/1/1998,0.378333333,59.56666667
11/1/1998,0.859166667,51.29166667
12/1/1998,0.508333333,40.93333333
1/1/1999,2.391666667,43.09166667
2/1/1999,0.971666667,48.99166667
3/1/1999,0.7725,51.9
4/1/1999,0.8225,57.49166667
5/1/1999,0,65.18333333
6/1/1999,0.018333333,72.36666667
7/1/1999,0.005,75.6
8/1/1999,0,74.025
9/1/1999,0.023333333,72.775
10/1/1999,0.010833333,64.75
11/1/1999,0.341666667,53.58333333
12/1/1999,0.045833333,44.45833333
1/1/2000,1.825833333,48.825
2/1/2000,2.824166667,52.9
3/1/2000,0.944166667,55.08333333
4/1/2000,0.9325,61.875
5/1/2000,0.123333333,68.675
6/1/2000,0.208333333,76.16666667
7/1/2000,0,74.94166667
8/1/2000,0.028333333,76.45833333
9/1/2000,0.025833333,71.00833333
10/1/2000,1.421666667,61.49166667
11/1/2000,0.082727273,47.24545455
12/1/2000,0.1425,45.08333333
1/1/2001,1.883333333,44.225
2/1/2001,1.7775,48.23333333
3/1/2001,1.17,57.73333333
4/1/2001,0.685833333,57.23333333
5/1/2001,0.220833333,74.54166667
6/1/2001,0.001666667,76.53333333
7/1/2001,0.064166667,77.125
8/1/2001,0,76.925
9/1/2001,0.059166667,72.93333333
10/1/2001,0.170833333,65.05
11/1/2001,1.36,54.6
12/1/2001,1.770833333,46.81666667
1/1/2002,0.805833333,43.74166667
2/1/2002,0.208333333,50.71666667
3/1/2002,0.797692308,54.13846154
4/1/2002,0.395384615,60.9
5/1/2002,0.208461538,67.62307692
6/1/2002,0,75.10769231
7/1/2002,0.000769231,79.23076923
8/1/2002,0,75.26923077
9/1/2002,0,72.87692308
10/1/2002,0.004615385,60.96923077
11/1/2002,1.162307692,52.52307692
12/1/2002,1.786923077,47.76153846
1/1/2003,0.402307692,48.54615385
2/1/2003,1.341538462,49.4
3/1/2003,0.770769231,56.37692308
4/1/2003,1.236923077,56.40769231
5/1/2003,0.534615385,67.01538462
6/1/2003,0.000769231,74.96923077
7/1/2003,0,81.37692308
8/1/2003,0,76.68461538
9/1/2003,0,74.52307692
10/1/2003,0.122307692,65.68461538
11/1/2003,0.521538462,49.78461538
12/1/2003,1.803846154,48.22307692
1/1/2004,0.770769231,45.57692308
2/1/2004,2.220769231,49.73846154
3/1/2004,0.462307692,60.49230769
4/1/2004,0.064615385,63.41538462
5/1/2004,0.033846154,68.23076923
6/1/2004,0.006153846,73.79230769
7/1/2004,0,78.39230769
8/1/2004,0,76.67692308
9/1/2004,0.020769231,71.63846154
10/1/2004,1.502307692,61.21538462
11/1/2004,0.661428571,49.58571429
12/1/2004,2.182857143,44.99285714
1/1/2005,2.205714286,46.50714286
2/1/2005,1.993571429,52.45
3/1/2005,1.721428571,55.86428571
4/1/2005,0.886428571,57.7
5/1/2005,0.809285714,67.22857143
6/1/2005,0.009285714,70.83571429
7/1/2005,0,81.54285714
8/1/2005,0,78.32142857
9/1/2005,0.092857143,68.87857143
10/1/2005,0.487142857,62.32142857
11/1/2005,0.72,54.07857143
12/1/2005,1.703571429,49.22142857
1/1/2006,4.372142857,47.28571429
2/1/2006,0.532142857,50.32857143
3/1/2006,2.975714286,49.65714286
4/1/2006,1.943571429,58.15
5/1/2006,0.584285714,69.16428571
6/1/2006,0.000714286,76.67857143
7/1/2006,0.000714286,82.04285714
8/1/2006,0,74.81428571
9/1/2006,0.009285714,70.71428571
10/1/2006,0.288571429,59.83571429
11/1/2006,0.35,52.82857143
12/1/2006,0.853571429,44.55
1/1/2007,0.421428571,41.56428571
2/1/2007,1.413571429,50.56428571
3/1/2007,0.499285714,58.37142857
4/1/2007,0.696428571,61.06428571
5/1/2007,0.295,68.77142857
6/1/2007,0,74.35714286
7/1/2007,0,78.11428571
8/1/2007,0.015714286,77.31428571
9/1/2007,0.107857143,69.32142857
10/1/2007,0.561428571,60.64285714
11/1/2007,0.357857143,53.49285714
12/1/2007,1.091428571,43.69285714
1/1/2008,2.890714286,45.78571429
2/1/2008,1.177857143,49.56428571
3/1/2008,0.100714286,54.70714286
4/1/2008,0.102142857,59.00714286
5/1/2008,0.105714286,67.45
6/1/2008,0.007857143,74.8
7/1/2008,0.009285714,78.46428571
8/1/2008,0.002142857,78.67857143
9/1/2008,0.005,72.61428571
10/1/2008,0.097857143,63.08571429
11/1/2008,0.895,54.31428571
12/1/2008,0.931428571,42.7
1/1/2009,1.135,45.69285714
2/1/2009,1.530714286,49.97142857
3/1/2009,0.36,54.08571429
4/1/2009,0.511333333,59.46666667
5/1/2009,0.232666667,71.37333333
6/1/2009,0.100666667,72.27333333
7/1/2009,0.005333333,78.91333333
8/1/2009,0.007333333,77.5
9/1/2009,0.092,74.77333333
10/1/2009,0.865333333,60.6
11/1/2009,0.225333333,50.88
12/1/2009,1.477333333,44.88
1/1/2010,2.461333333,46.42666667
2/1/2010,2.181333333,51.37333333
3/1/2010,0.755,53.6375
4/1/2010,1.7975,55.69375
5/1/2010,0.376875,62.5125
6/1/2010,0.100625,73.99375
7/1/2010,0.036875,77.90625
8/1/2010,0.1625,74.71875
9/1/2010,0.31125,71.85625
10/1/2010,0.940625,63.4875
11/1/2010,1.44,50.79375
12/1/2010,4.1675,49.84375
1/1/2011,1.0725,44.65
2/1/2011,1.386875,47.3125
3/1/2011,2.40375,53.56875
4/1/2011,0.251875,58.35
5/1/2011,0.4175,62.3375
6/1/2011,0.7975,71.14375
7/1/2011,0.08,77.175
8/1/2011,0.0075,76.025
9/1/2011,0.030625,74.7
10/1/2011,0.60625,63.5625
11/1/2011,0.88,50.23125
12/1/2011,0.0675,41.86875
1/1/2012,0.575625,46.14375
2/1/2012,0.561875,50.2875
3/1/2012,1.545,53.575
4/1/2012,1.855,60.125
5/1/2012,0.098125,68.0375
6/1/2012,0.090625,73.0125
7/1/2012,0.000666667,77.18666667
8/1/2012,0.004666667,79.34
9/1/2012,0.003333333,74.82
10/1/2012,0.273333333,62.92
11/1/2012,0.762666667,53.74666667
12/1/2012,1.989333333,46.88
1/1/2013,0.788,43.45333333
2/1/2013,0.413333333,47.80666667
3/1/2013,0.792,57.90666667
4/1/2013,0.179333333,63.62
5/1/2013,0.18,68.77333333
6/1/2013,0.028666667,75.88666667
7/1/2013,0.018666667,80.10666667
8/1/2013,0.02,76.5
9/1/2013,0.061875,71.43125
10/1/2013,0.0725,60.85
11/1/2013,0.625,53.1125
12/1/2013,0.1875,42.55625
1/1/2014,0.154375,48.55625
2/1/2014,1.383125,53.70625
3/1/2014,0.96625,58.4375
4/1/2014,0.464375,63.0625
5/1/2014,0.034375,70.1625
6/1/2014,0.0275,75.94375
7/1/2014,0.0125,80.68125
8/1/2014,0.006875,78.05
9/1/2014,0.06875,74.66875
10/1/2014,0.54125,66.475
11/1/2014,0.461875,53.6
12/1/2014,2.590625,49.5625
1/1/2015,0.215625,46.34375
2/1/2015,0.774375,54.6375
3/1/2015,0.129375,60.99375
4/1/2015,0.55,62.325
5/1/2015,0.33125,65.9
6/1/2015,0.0375,78.18125
7/1/2015,0.220625,79.05
8/1/2015,0.053125,77.93125
9/1/2015,0.033125,74.49375
10/1/2015,0.46,67.99375
11/1/2015,1.222941176,49.26470588
12/1/2015,1.365882353,44.82352941
1/1/2016,3.204117647,49.08235294
2/1/2016,0.309411765,53.08235294
3/1/2016,2.118823529,57.15882353
4/1/2016,1.201176471,62.78823529
5/1/2016,0.629411765,68.47647059
6/1/2016,0.031176471,76.90588235
7/1/2016,0.001578947,78.52631579
8/1/2016,0,76.54736842
9/1/2016,0.001578947,71.67368421
10/1/2016,1.315789474,63.16315789
11/1/2016,0.800526316,55.25263158
12/1/2016,1.499444444,46.27777778
1/1/2017,3.841052632,46.88421053
2/1/2017,2.685263158,52.75263158
3/1/2017,0.977894737,56.46842105
4/1/2017,0.928421053,60.1
5/1/2017,0.123684211,68.34210526
6/1/2017,0.02,76.21578947
7/1/2017,0.013157895,80.74210526
8/1/2017,0.025789474,79.36315789
9/1/2017,0.096842105,72.86315789
10/1/2017,0.097894737,61.97368421
11/1/2017,0.500526316,54.95263158
12/1/2017,0.071052632,44.51578947
1/1/2018,1.726842105,49.47368421
2/1/2018,0.308947368,49.61578947
3/1/2018,2.286315789,54.06842105
4/1/2018,0.851578947,60.94210526
5/1/2018,0.067894737,67.13157895
6/1/2018,0.065789474,74.46842105
7/1/2018,0.033684211,81.42631579
8/1/2018,0.009473684,76.38421053
9/1/2018,0.036315789,71.52631579
10/1/2018,0.212105263,63.52631579
11/1/2018,1.498421053,53.125
12/1/2018,1.2395,47.875
1/1/2019,1.4655,49.22
2/1/2019,2.625789474,47.68947368
3/1/2019,1.921,54.46
4/1/2019,0.3435,63.935
5/1/2019,1.898,63.89
6/1/2019,0.0015,76.225
7/1/2019,0,78.45
8/1/2019,0.005,78.72
9/1/2019,0.0735,72.035
10/1/2019,0.009,60.83
11/1/2019,1.661,53.465
12/1/2019,2.1895,49.53
1/1/2020,0.564736842,47.22631579
2/1/2020,0.041,52
3/1/2020,1.78,53.7952381
4/1/2020,1.498095238,61.65238095
5/1/2020,0.272857143,69.55238095
6/1/2020,0.123809524,75.70952381
7/1/2020,0.040952381,78.7
8/1/2020,0.051904762,80.08571429
9/1/2020,0.053809524,74.17142857
10/1/2020,0.064761905,66
11/1/2020,0.32952381,50.8952381
12/1/2020,0.815238095,46.15238095
1/1/2021,2.258095238,48.4952381
2/1/2021,0.361904762,52
3/1/2021,0.844761905,53.44761905
4/1/2021,0.096666667,62.1
5/1/2021,0.006666667,69.64761905
6/1/2021,0.001904762,76.94761905
7/1/2021,0.012857143,81.67142857
8/1/2021,0.004285714,78.62857143
9/1/2021,0.014285714,73.67142857
10/1/2021,1.89,61.49047619
11/1/2021,0.285238095,53.65714286
12/1/2021,3.11,46.26666667
1/1/2022,0.068095238,46.8952381
2/1/2022,0.133809524,49.74285714
3/1/2022,0.92,56.90952381
4/1/2022,0.415714286,60.65238095
5/1/2022,0.010952381,67.41428571
6/1/2022,0.033809524,76.07619048
7/1/2022,0.001904762,79.2952381
8/1/2022,0.011904762,79.75238095
9/1/2022,0.207142857,76.17142857
10/1/2022,0.017142857,65.8
11/1/2022,0.733809524,47.86666667
12/1/2022,4.65952381,45.12380952
1/1/2023,3.901428571,47.84285714
2/1/2023,2.53047619,46.42857143
3/1/2023,3.646666667,50.79047619
4/1/2023,0.050952381,59.64285714
5/1/2023,0.344761905,65.87142857
6/1/2023,0.136666667,70.73333333
7/1/2023,0.134761905,80.00952381
8/1/2023,0.5,78.05714286
9/1/2023,0.13,70.9
10/1/2023,0.200952381,64.21904762
11/1/2023,0.334285714,53.27619048
12/1/2023,1.553333333,49.58095238
1/1/2024,2.192380952,49.64285714
2/1/2024,2.876666667,51.5047619
3/1/2024,1.484285714,54.56666667
4/1/2024,1.199047619,59.64761905
5/1/2024,0.363809524,67.87619048
6/1/2024,0.112380952,77.45238095
7/1/2024,0.084761905,83.31904762
8/1/2024,0.07952381,77.77619048
9/1/2024,0.054285714,73.9047619
10/1/2024,0.052380952,67.10952381
11/1/2024,1.394285714,51.2952381
12/1/2024,1.367619048,48.81428571
1/1/2025,0.316666667,45.49047619
2/1/2025,1.541428571,52.36190476
3/1/2025,1.867619048,54.2952381
4/1/2025,0.431904762,60.82857143
5/1/2025,0.016190476,69.2047619
6/1/2025,0.008095238,75.12857143
7/1/2025,0,76.37619048
8/1/2025,0.007619048,78.76666667
9/1/2025,0.230952381,74.62857143
10/1/2025,1.307619048,62.21904762
11/1/2025,2.434761905,55.50952381
(blank),,
Grand Total,0.796931397,62.18081429
